# Manifest images pour macd (source : stockcharts)
# Page : https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/macd-moving-average-convergence-divergence-oscillator
# Methode : double ancrage (.md figcaption + HTML legende locale)
# Bilan : 1 certifiee(s) | 0 a verifier | 10 decorative(s)

(decorative) | rang 1 | section : What Is the Moving Average Convergence/Divergence Oscillator? | IGNOREE
image_01.jpg | label : StockCharts MACD interpretation | section : Oscillator | CERTIFIE (accord .md + HTML)
(decorative) | rang 3 | section : Signal Line Crossovers | IGNOREE
(decorative) | rang 4 | section : Centerline Crossovers | IGNOREE
(decorative) | rang 5 | section : Centerline Crossovers | IGNOREE
(decorative) | rang 6 | section : Centerline Crossovers | IGNOREE
(decorative) | rang 7 | section : Divergences | IGNOREE
(decorative) | rang 8 | section : Divergences | IGNOREE
(decorative) | rang 9 | section : Divergences | IGNOREE
(decorative) | rang 10 | section : Using MACD With SharpCharts | IGNOREE
(decorative) | rang 11 | section : Using MACD With SharpCharts | IGNOREE
