fichier,source,methode,titre_cite_belkhayate,langue,mots,termes_belkhayate,hallucinations,score,fiabilite
-OIGv5rLLV8_Belkhayate ： Lesson 46 - Trading Solide.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1351,3,0,79,VALIDE
-S4bads_QCM_Trading WHEAT Market LIVE - 5 Days Challenge - Monday.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,925,6,0,88,VALIDE
0ul4j0d6uCQ_video 1 ： Belkhayate Gravity Center on Ninjatrader.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,EN,944,11,0,90,VALIDE
1_LMBvn_2RA_Belkhayate ： Lesson 41.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,771,4,0,82,VALIDE
1bUQ2iiyUZw_Belkhayate ： Lesson 45 - Prévoir la Force d'une Impulsion Boursière.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1097,10,0,90,VALIDE
1yu1CrC0HS0_Voici les 2 Indicateurs Bonus de la Formation Belkhayate Method.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1134,9,0,90,VALIDE
2yqB5ldVB-M_Belkhayate ： Lesson 38 - Champion Strategy.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1426,6,0,88,VALIDE
"3750psYk1bo_le Cryptotrading, Chance pour le Maroc et l'Afrique ？ (Partie 1).txt",belkhayate-youtube (chaine officielle),belkhayate,non,FR,2124,1,0,73,VALIDE
4XYEV3o3W5U_Trading Gagnant sur le Blé.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,3479,9,0,90,VALIDE
57DtXQp35Eo_Belkhayate Gravity Center User Guide.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,mixte,2461,25,0,90,VALIDE
5dMhHFLzogM_Belkhayate ： Lesson 28.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1155,4,0,82,VALIDE
6D6rgL3CvpQ_Présentation de Belkhayate Trend.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,803,8,0,90,VALIDE
79HyL4V13KQ_Belkhayate ： Lesson 30.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,985,4,0,82,VALIDE
9azfF45PhRU_Arrêter de chercher à comprendre et Prendre l'Argent sur le Nasdaq.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,2681,9,0,90,VALIDE
