fichier,taille_mo,duree_s,titre_metadata,statut,raison,priorite
V14.mp4,23.34,576.16,,A_TRANSCRIRE,mot-cle trading: 'trading',1
Lecon 11 PART1.mov,1536.32,599.38,,A_TRANSCRIRE,mot-cle trading: 'trading',2
V12.mp4,25.07,673.54,,A_TRANSCRIRE,mot-cle trading: 'marché',3
Leçon 27 Analyse des marchés PART 2.mp4,78.05,683.94,,A_TRANSCRIRE,mot-cle trading: 'profit',4
Leçon 28 PART 5 Evolution Probable des marchés 2023 2025.mp4,111.57,751.1,,A_TRANSCRIRE,mot-cle trading: 'marché',5
Leçon 25  Plan B et Humilité du Trader PART 2.mp4,109.38,756.88,,A_TRANSCRIRE,mot-cle trading: 'marche',6
Leçon 15 Tests de Trading ou ouvrir un compte de Trading.mp4,184.3,814.9,,A_TRANSCRIRE,mot-cle trading: 'profit',7
Leçon 28 PART 3  Evolution Probable des marchés 2023 2025.mp4,137.56,832.46,,A_TRANSCRIRE,mot-cle trading: 'marché',8
Leçon 24 Stop Loss et Prise de Profits PART 2.mp4,101.62,844.09,,A_TRANSCRIRE,mot-cle trading: 'marché',9
8 Episode 2 mp4.mp4,31.27,864.41,,A_TRANSCRIRE,mot-cle trading: 'indicateur',10
11.mp4,113.1,882.04,,A_TRANSCRIRE,mot-cle trading: 'marché',11
Leçon 28  PART 2 Evolution Probable des marchés 2023 2025.mp4,128.95,898.57,,A_TRANSCRIRE,mot-cle trading: 'trading',12
1 Mon Parcours de Trader d_Or et mes Meilleurs Trades (1).mp4,71.83,903.58,,A_TRANSCRIRE,mot-cle trading: 'marché',13
V33.mp4,40.67,915.14,,A_TRANSCRIRE,mot-cle trading: 'trading',14
Leçon 12 Graphique en Range .mp4,145.48,938.11,,A_TRANSCRIRE,mot-cle trading: 'marché',15
Leçon 8  La ligne qui raconte l’histoire .mp4,174.75,968.2,,A_TRANSCRIRE,mot-cle trading: 'marché',16
Leçon 18  Le point de Contrôle -Nouvelle Vidéo-.mp4,128.79,978.79,,A_TRANSCRIRE,mot-cle trading: 'bougie',17
Leçon 2  De la plateforme NinjaTrader.mp4,115.07,998.43,,A_TRANSCRIRE,mot-cle trading: 'volume',18
Leçon 3  De l’Analyse Technique d’un Marché .mp4,245.74,1020.77,,A_TRANSCRIRE,mot-cle trading: 'marché',19
11-Episode m4v.mp4,37.06,1050.38,,A_TRANSCRIRE,mot-cle trading: 'marché',20
V24.mp4,47.09,1086.14,,A_TRANSCRIRE,mot-cle trading: 'indicateur',21
Leçon 19 Le Delta -Nouvelle Vidéo-.mp4,147.04,1149.36,,A_TRANSCRIRE,mot-cle trading: 'marché',22
8-Episode 1 mp4.mp4,55.26,1172.54,,A_TRANSCRIRE,mot-cle trading: 'stop',23
12 Episode mp4.mp4,56.06,1178.02,,A_TRANSCRIRE,mot-cle trading: 'stop',24
20.mp4,203.86,1184.0,,A_TRANSCRIRE,mot-cle trading: 'signal',25
Leçon 10 L’Analyse du Contexte sur 15 minutes.mp4,240.35,1200.77,,A_TRANSCRIRE,mot-cle trading: 'marche',26
14.mp4,171.97,1229.48,,A_TRANSCRIRE,mot-cle trading: 'marché',27
Leçon 24  Stop Loss et Prise de Profits Partie 1.mp4,210.82,1289.87,,A_TRANSCRIRE,mot-cle trading: 'stop',28
13.mp4,177.88,1296.2,,A_TRANSCRIRE,mot-cle trading: 'trading',29
Leçon 20  Le Drapeau de Rejet (Nouvelle Vidéo) PART 2.mp4,351.5,1326.23,,A_TRANSCRIRE,mot-cle trading: 'signal',30
