asset,params_label,nb_signaux,taux_reversion_b1,taux_reversion_b2,R2_moyen,verdict
GC,180/3,741,50.3,55.7,0.811,A_REVISER
GC,100/3,770,57.9,61.4,0.747,CONFIRME
GC,125/2,758,49.9,55.1,0.712,A_REVISER
GC,250/3,683,51.1,57.8,0.829,A_REVISER
HG,180/3,713,42.5,48.1,0.608,REJETE
HG,100/3,799,54.3,65.2,0.64,A_REVISER
HG,125/2,746,39.4,56.5,0.525,REJETE
HG,250/3,630,39.4,50.0,0.639,REJETE
ZW,180/3,751,32.9,57.0,0.492,REJETE
ZW,100/3,766,57.4,70.9,0.656,CONFIRME
ZW,125/2,820,39.9,46.3,0.456,REJETE
ZW,250/3,561,41.2,58.2,0.486,REJETE
